country,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
germany,3.121038025,3.024215854,3.035315027,2.950447919,2.94762842,3.027785215,3.020236297,3.012948533,2.912666073,2.854093554,2.77739965,2.759453648,2.62867334,2.52069658,2.506763612,1.973822503,1.83607973,1.677259733,1.536603613,1.487272469,1.457371753,1.402707591,1.381656989,1.380347799,1.34421582,1.307898269,1.313440334,1.298696348,1.250728081,1.232755838,1.178986514,1.152792363,1.188870053,1.284789869,1.24181028,1.182337316,1.217259658,1.162137915,1.127699495,1.115418405,1.129125061,1.131260901,1.148141458,1.240148463,1.355989935,1.299823743,1.350305146,1.487963326,1.891903772,
greece,5.829227384,5.918535654,5.575444512,5.181248329,4.660805995,5.735701309,5.626593458,5.172476663,4.835444337,4.692566938,4.128015122,4.255520448,4.198232231,3.765869465,3.798260327,3.48486511,3.62980089,3.600124696,3.581972329,3.09663675,3.23732069,3.296027414,3.455414646,3.494208688,3.594798706,3.356275662,3.165656718,2.562781327,2.672028085,2.901679875,2.829692882,2.719175138,3.023724129,3.269040095,2.756780879,2.520211467,2.476396289,2.391308076,2.367840263,2.477434243,2.572798338,2.55662389,2.700541082,2.596483671,3.023107657,3.802473678,4.000352461,2.883254726,3.127975366,
hungary,3.006239365,2.95532646,3.239637923,3.239044409,3.34257975,3.333760739,3.243306994,3.335936628,3.147675013,4.972429138,3.22373255,3.155577299,3.596223271,2.786162062,2.563538027,2.161469799,2.179653172,1.90656829,1.824134384,1.313959462,1.249681775,1.468339218,1.267751751,1.429902688,1.514209847,1.570747173,1.595668771,1.645211186,1.473449403,1.411243779,1.219741888,1.267787521,1.180493405,1.128238841,1.024133634,1.038769808,1.029247255,0.943669887,0.857233094,0.904216708,0.999116488,1.191696782,1.002204529,1.327825227,1.746281524,1.315209936,1.833148172,2.049510968,2.156309804,
ireland,1.615162499,1.52517744,1.483083547,1.582200567,1.665267012,1.580606618,1.591236948,1.492631233,1.412439425,1.416044204,1.423205265,1.282300247,1.199434153,1.105476119,1.203503284,1.253935313,1.20411855,1.139225149,1.108732591,1.015363023,0.990896266,0.923621424,0.823067638,0.750076569,0.694961052,0.702765014,0.633833346,0.587456024,0.567899833,0.540612699,0.513151244,0.508754794,0.57698782,0.60116902,0.574574154,0.539508228,0.509289133,0.491613423,0.447668416,0.329854617,0.327907587,0.296120745,0.280112255,0.273293509,0.262684778,0.238637693,0.212502381,0.230374711,0.239096332,
italy,1.828143669,1.890808512,1.879755105,1.873959467,1.763643237,1.821112506,2.005372903,2.01650142,2.008607774,1.93636892,1.977142642,2.060353644,2.072857459,2.02642732,1.880798413,1.858852684,1.751976983,1.786767973,1.71374276,1.459637177,1.581427835,1.618935238,1.636212823,1.675225589,1.733397408,1.666874442,1.693942549,1.698399512,1.672289314,1.595161237,1.514343172,1.440918238,1.530051247,1.547489096,1.494313125,1.468292206,1.419462385,1.391677477,1.276330703,1.202473165,1.327733879,1.351223502,1.354433179,1.306116714,1.72984959,1.662863878,1.651642526,1.606460409,1.609245612,
latvia,,,,,,,,,,,,,,,,,,0.735295406,0.838757227,0.831537179,0.657943813,0.598268337,0.604779501,0.772368809,0.901766971,1.061803234,1.591799443,1.68220335,1.65869012,1.671421058,1.79995995,1.636499366,1.70435876,1.415934988,1.10611728,1.107376266,0.942934638,0.972846249,0.978038881,1.073522476,1.501744579,1.652757368,2.134730022,2.090168022,2.227595217,2.155779875,2.254619311,2.970169569,3.257991545,
lithuania,,,,,,,,,,,,,,,,,,0.812260643,0.493377598,0.451480223,0.501283931,0.743584548,1.223940475,0.965770667,1.215490309,1.361025834,1.270938462,1.120833819,1.191040625,1.163118413,1.1677918,1.112731351,1.130811184,1.079735128,0.890423907,0.797082443,0.769173394,0.766528273,0.883731669,1.134860851,1.480138332,1.712141173,1.94787933,1.984190119,2.04915558,1.94955292,2.444575879,2.713000529,3.118174864,
luxembourg,0.890996863,0.906504943,0.929190841,0.918695859,1.041844203,1.093420029,1.077152008,1.088241294,1.042169628,0.867554425,0.833086845,0.915915919,0.951494529,0.78845832,0.788344681,0.811385163,0.827198401,0.707154434,0.741561436,0.616312295,0.611795282,0.619164073,0.641796393,0.580380839,0.546329291,0.677211501,0.588787409,0.606265559,0.605730958,0.584776157,0.520787713,0.501624007,0.364912795,0.371311757,0.441009497,0.376775589,0.358937252,0.358492376,0.366856826,0.415571528,0.378949157,0.495110917,0.500655643,0.54619838,0.578077082,0.471249236,0.625325775,0.773179422,0.962679157,
malta,,,,,,,,,,1.276251034,1.269183826,1.456257769,1.221066731,1.108184837,0.914918012,0.871119892,0.973183399,1.001961048,1.024059115,0.839629967,0.871057168,0.822349256,0.725207281,0.680640073,0.628078157,0.666190034,0.637560682,0.629824751,0.663925031,0.822526575,0.655773992,0.618983131,0.61335464,0.676723897,0.646212686,0.571705681,0.519475728,0.498340372,0.476026297,0.456932902,0.496660141,0.456702678,0.414176633,0.491258186,0.527674291,0.446085156,0.411834982,0.504866254,0.451123319,
netherlands,2.688909449,2.954457522,2.747070531,2.840232828,2.784298566,2.863119442,3.14147059,2.848584745,2.861724417,2.768218121,2.725119786,2.713467178,2.610909468,2.517403906,2.369019885,2.248531531,2.213002596,2.027829408,1.913060975,1.768737577,1.734549667,1.638181031,1.558533985,1.569751251,1.433420833,1.434750829,1.421552154,1.437946324,1.420689162,1.390832402,1.38651514,1.346874875,1.297100103,1.385809928,1.317528794,1.277261274,1.225525347,1.157208816,1.14761128,1.117860335,1.144499601,1.137214478,1.196141618,1.291808423,1.406077189,1.365374909,1.304199956,1.441365157,1.916425418,
